Model,BestParams,Accuracy,Precision,Recall,F1,ROC_AUC
KNN,{'n_neighbors': 7},0.92,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9364149305555556
RandomForest,"{'max_depth': 5, 'n_estimators': 50}",0.91,0.8648648648648649,0.8888888888888888,0.8767123287671232,0.9513888888888888
SVM,"{'C': 1, 'kernel': 'rbf'}",0.91,0.8648648648648649,0.8888888888888888,0.8767123287671232,0.9422743055555556
DecisionTree,{'max_depth': 3},0.88,0.8157894736842105,0.8611111111111112,0.8378378378378378,0.8938802083333334
LogisticRegression,{'C': 10},0.84,0.8571428571428571,0.6666666666666666,0.75,0.91015625
